quizzes,solutions
070000002001507090000462005002700000008000020000000300080000409300208050009001000,675913842421587693893462175132756984968134527547829361286375419314298756759641238
000309002003710000500800000620000040007000300000420708000000000140003600000000970,761349852283715496594862137628937541417658329935421768876594213149273685352186974
043000000000000004580040060200009000001008057005000000070906045009000310000050002,143697528926385174587142963268579431491238657735461289372916845859724316614853792
000000150050020040600007300000705010000008009090040700800001004004003000730069000,372984156159326847648517392286795413417638529593142768865271934924853671731469285
000040000090060050000021907000074100000500023056090800080007030009000000713000000,827945316491763258365821947238674195974518623156392874682157439549236781713489562
040005980500078140000000020000030000000701000200004070070000436000590800000600000,142365987569278143783419625457836291398721564216954378975182436634597812821643759
000400900910000470000030005000000017500200300800000000030004009090006702460001000,652487931913562478784139625329645817576218394841793256235874169198356742467921583
030900460050070080090000000073000000000035040080000052001080000007210006000000200,738921465652374189194658723573462891219835647486197352321586974847219536965743218
100340007000000000400020605009850006300260004000009000008000049001003070000100500,152346987896517432473928615719854326385261794624739851238675149561493278947182563
090000030007190200000000070201000000000000700004827600000230068800001052300009000,492758136687193245153462879271946583968315724534827691715234968849671352326589417
004900100805000000000001065000500000200007059000006070048000003090170000003005020,764952138815634297329781465937528641286417359451396872548269713692173584173845926
030000900200370010000059040064005000000003001000900530600000004800000000000017059,537461982249378615186259743364185297958723461712946538695832174871594326423617859
200070040000008001900601370500100004016207000070043600000300100050000000009000000,231975846765438291948621375593186724416297538872543619624359187357814962189762453
008000600010006027000410005070900300000001000600000702700009000006800230040060000,428795613915386427367412895574928361832671954691534782783259146156847239249163578
008006070270900600060080500000000050009000002125640003000000000806500031050408000,598126374274935618361784529487293156639851742125647893712369485846572931953418267
040892700000005000501000009020000080000000001000471200400020003805307000000060090,643892715279135864581746329124653987367289451958471236416928573895317642732564198
009000000000028000000900051200001000001000400905300076800000063000800000020040705,539176842416528397782934651278461539361795428945382176854217963697853214123649785
840090007006030080700000160070000908060002000000051200000300010903700000000080000,845196327216437589739528164172643958568972431394851276427369815983715642651284793
907000230300040060000010090002100000760009540000085000600000080030500000000000004,947856231315942867826317495582164379761239548493785612659421783134578926278693154
007000080024009000000438200200010400000000650903005000030000000000900010105070090,367521984824769531591438267256813479418297653973645128639182745782954316145376892
030021005000608000506000000090000602100000930007040100000706020005000007000230000,739421865241658793586379241894513672152867934367942158413786529625194387978235416
010480002009200000200071040021000094900000057000000201000800900003500000500002600,615489732479235186238671549321756894946128357857394261762843915193567428584912673
500004900000200100800000062009300204100000750600702000056900030000400000000080400,521674983963258147874193562789365214132849756645712398456927831298431675317586429
007003009200010800800040700000000006050000402000004090003080200900600001120000007,547823619239716854861549723394258176658197432712364598473981265985672341126435987
060000000050090180004000003000000390600075000270830040900000200530060008000001700,369148572752693184184527963845216397693475821271839645918754236537962418426381759
590100003000034700000500000010000070050003009002009600005048000470900306200000004,598167423126834795734592168319486572657213849842759631965348217471925386283671954
005000080006001002400020000000705000000300040102600900000003760800200301600000050,215967483986431572473528619394715826768392145152684937529143768847256391631879254
400000000052078900000060002000053096004000000800000300000090400300001729010000030,491235687652178943783964152127453896934816275865729314578392461346581729219647538
300007008095000000001000700000800004000090300100260000923000000060003005000000620,346917258795382146281546739672835914854791362139264587923658471467123895518479623
200700040010004032070060000003070060006000408500200300000687000800090000360000007,235718946618954732974362851493871265726539418581246379142687593857193624369425187
000000530109050400000240000203700000000000080000165000600008000972004006000600002,824976531169853427357241698243789165516432789798165243631528974972314856485697312
600200108007004000000000260003050000080000520000902847500100000000045000002700600,654293178827614395391578264243857916789461523165932847578126439916345782432789651
000060000109000000000008040005003008060701020300050100400000700906300000000026005,543269817189437652672518349215643978864791523397852164421985736956374281738126495
000000000064000920005390047000060000030207001700000090253006070010080400000000300,972654183364178925185392647521869734839247561746531298253416879617983452498725316
000320060002700509008000000006010005000000007700200090460000000080500900950060128,175329864342786519698145372826917435519634287734258691461892753283571946957463128
368700000000000040010008007027050060000006030000800500075003000000200000906000084,368794152759612843412538697827351469541926738693847521275483916184269375936175284
080005109006000400010000700020001000500903008400060500800007000350200006000004050,284735169736129485915486732628571394571943628493862571849657213357218946162394857
450680100000000890290003000007002040000001060030070010000260005020000000900008400,453689172761524893298713654617852349842391567539476218184267935326945781975138426
000007500100009207000100046608030000070000009009060003050400900000002000800070050,436827591185649237927153846618934725573218469249765183351486972764592318892371654
004001000006008001008009400000020590032700000001083000040000836005300720700000000,594671382326458971178239465487126593932745618651983247249517836815364729763892154
000370005000000000050001240620103000090006007000080900001000020970000053000627000,246379815189542376753861249627193584894256137315784962461935728972418653538627491
003000000018000005050208700300100200000000050002803006009006300500300090700400080,973645821218739465654218739395167248867924153142853976429586317581372694736491582
000800562008010000000000003000000054000000200014700900801905000070103000030000807,193847562568312749427569183789231654356498271214756938841975326672183495935624817
090007240075006000000000003306004008000009000000001050014000705000020000060400100,193587246275346891648912573326754918751839462489261357814693725937125684562478139
952000000010003900008057010609580000007002060200000080100709400000040000000000000,952614873714823956368957214639581742587492361241376589125769438893145627476238195
500800000200000007000130040000076004000900000800050900302000000089003015600010070,571824693243569187968137542195376824436982751827451936312795468789643215654218379
000030050001700200080900700750010692000009010000800000010050000600400000040070005,479632158361785249582941763758314692234569817196827534917253486625498371843176925
100070004600100005703004001090003000040020600000000157000009006000000000200030900,129375864684192375753864291597613482841527639362948157438259716976481523215736948
000003120000000000490005730000000304003009010700000200500080000001030090006024080,687493125135762948492815736968271354253649817714358269529186473841537692376924581
600000050842130000010800000000009503009080070350400009007000000000900100080020040,693742851842135796715896432478269513129583674356471289567314928234958167981627345
840007000007031002930008000010000050700020390609080020090000001000700040000004000,842567913567931482931248675213679854784125396659483127496852731328716549175394268
800000093036002700000006010004000806000000030000360000070050000045200009090800000,812745693936182754457936218324591876761428935589367421178659342645273189293814567
000000700508070201100200003600000520700050000003006004030000000000090108000100007,326841795548379261197265483614738529789452316253916874931587642472693158865124937
020007003801403009090060007000074020900085000000000310000000006038000070400000000,624957183871423659593861247386174925912385764745296318259718436138649572467532891
304500080070038000000000002009003005000060009200071000001000500090602001005000004,314526987972138456568794132149283765837465219256971348621847593493652871785319624
302500000609000000000040908100038200000090050076000004000163020000004000007000000,342589176689317542715642938154738269823496751976251384598163427231874695467925813
030000200500400000009800407105000000000005006083000000000300950000002080200506700,834167295571429368629853417165234879942785136783691524416378952357942681298516743
021006000500800090900004000007050241008000000300100000130000900040000050000000386,721596438564831792983274615697358241418962573352147869136785924849623157275419386
006000030010050000004001020003000040981000006000020008608007000000009000200840000,856792134312458679794631825523186947981374256467925318638517492145269783279843561
300000980700400000069800002001000800900630010030000204000004091000008400000900300,354271986782496153169853742621745839948632517537189264873524691296318475415967328
006000010028050000070800000800102004000007023000000860305709400000000009200430050,936274518128356947574891236853162794649587123712943865365719482481625379297438651
009000500200350046600001002096000000000702030000040060807000004000400000000090021,389624517271358946645971382496183275158762439723549168817235694962417853534896721
000016400000090080095000000070000000081000000000600905030004000200900170050207046,823716459617495283495832761976521834581349627342678915738164592264953178159287346
060704090900680200780000000000020000070009003402000100000000000003240080100050007,261734895935681274784592316316428759578169423492375168847916532653247981129853647
750630004400800000008009005000001000304000061000400070009000006130070900007000040,751632894493815627268749135972361458384957261615428379549283716136574982827196543
002490106100030009003000400908607000070000840020000000000100000509000000004000063,782495136145836279693271458958647312376912845421583697837169524569324781214758963
004050000000200090000130074308000000020040800010005009100002960060000050049000030,634759182781264395592138674378921546925647813416385729153472968267893451849516237
097002000003700600008000310504030002000001800020000006009086400000000000300000000,697312584413758629258469317584637192736921845921845736179286453842573961365194278
